md_file_name,template_file_name
template-bd-sec-policy-entry.md,bidirectional_security_policy_entry.yml
template-bd-sec-policy.md,bidirectional_security_policy.yml
template-bgp-neighbor.md,bgp_neighbor.yml
template-bridge-port.md,bridge_port.yml
template-cos-remarking-policy.md,cos_remarking_policy.yml
template-dc-gateway.md,dc_gateway.yml
template-dcgateway-port.md,dc_gateway_port.yml
template-dhcp-option.md,dhcp_option.yml
template-dhcp-pool.md,dhcp_pool.yml
template-dscp-remarking-policy.md,dscp_remarking_policy.yml
template-egress-qos-policy.md,egress_qos_policy.yml
template-enterprise-permission.md,enterprise_permission.yml
template-enterprise.md,enterprise.yml
template-gateway-vlan.md,gateway_vlan.yml
template-infrastructure-access-profile.md,infrastructure_access_profile.yml
template-infrastructure-gateway-profile.md,infrastructure_gateway_profile.yml
template-infrastructure-vsc-profile.md,infrastructure_vsc_profile.yml
template-ingress-qos-policy.md,ingress_qos_policy.yml
template-l2domain.md,l2_domain.yml
template-l3domain.md,l3_domain.yml
template-nsg-access-port.md,nsg_access_port.yml
template-nsg-activate.md,nsgateway_activate.yml
template-nsg-instance.md,nsgateway.yml
template-nsg-iso-download.md,nsg_zfbinfo_download.yml
template-nsg-monitor-scope.md,monitorscope.yml
template-nsg-network-performance-measurement-binding.md,network_performance_binding.yml
template-nsg-network-performance-measurement.md,network_performance_measurement.yml
template-nsg-network-port.md,nsg_network_port.yml
template-nsg-performance-monitor.md,performance_monitor.yml
template-nsg-template.md,nsgateway_template.yml
template-nsg-wifi-captive-portal-profile.md,captive_portal_profile.yml
template-nsg-wifi-port.md,wifi_port.yml
template-nsg-wifi-ssid.md,ssid_connection.yml
template-nsg-zfb.md,zfb_auto_assignment.yml
template-rate-limiter.md,rate_limiter.yml
template-routing-policy.md,routing_policy.yml
template-service-chaining-policy.md,service_chaining.yml
template-static-route.md,static_route.yml
template-subnet.md,subnet.yml
template-symmetric-qos.md,symmetric_qos_policy.yml
template-underlay.md,underlay.yml
template-vsd-user.md,vsd_user.yml
template-zone.md,zone.yml
none,policy_group.yml
